date,open,high,low,close,volume,adjusted_close,dividend
2022-12-16,142.7,149.9692,133.73,134.51,505728804,134.51,0.0
2022-12-23,135.11,136.81,129.64,131.86,384620427,131.86,0.0
2022-12-30,131.38,131.41,125.87,129.93,307184140,129.93,0.0
2023-01-06,130.28,130.9,124.17,129.62,369948527,129.62,0.0
2023-01-13,130.465,134.92,128.12,134.76,333335284,134.76,0.0
2023-01-20,134.83,138.61,133.77,137.87,271823466,137.87,0.0
2023-01-27,138.12,147.23,137.9,145.93,338655715,145.93,0.0
2023-02-03,144.955,157.38,141.32,154.5,480249683,154.5,0.0
2023-02-10,152.575,155.23,149.22,151.01,330758787,151.01,0.0
2023-02-17,150.952,156.33,150.85,152.55,316887898,152.55,0.0
2023-02-24,150.2,151.3,145.7202,146.71,213742390,146.71,0.0
2023-03-03,147.71,151.11,143.9,151.03,274036517,151.03,0.0
2023-03-10,153.785,156.3,147.6096,148.5,313350829,148.5,0.0
2023-03-17,147.805,156.74,147.7,155.0,410519933,155.0,0.0
2023-03-24,155.07,162.14,154.15,160.25,350159914,160.25,0.0
2023-03-31,159.94,165.0,155.98,164.9,267939590,164.9,0.0
2023-04-06,164.27,166.84,161.8,164.66,200156349,164.66,0.0
2023-04-14,161.42,166.32,159.78,165.21,263326290,165.21,0.0
2023-04-21,165.09,168.16,164.03,165.02,249150510,165.02,0.0
2023-04-28,165.0,169.85,162.8,169.68,254947569,169.68,0.0
2023-05-05,169.28,174.3,164.31,173.57,360723248,173.57,0.0
2023-05-12,172.48,174.59,171.0,172.57,250061982,172.57,0.0
2023-05-19,173.16,176.39,170.4201,175.16,258634688,175.16,0.0
2023-05-26,173.98,175.77,170.52,175.43,250354916,175.43,0.0
2023-06-02,176.96,181.78,176.57,180.95,286176391,180.95,0.0
2023-06-09,182.63,184.951,177.32,180.96,347854340,180.96,0.0
2023-06-16,181.27,186.99,180.97,184.92,333836397,184.92,0.0
2023-06-23,184.41,187.56,182.5901,186.68,203677112,186.68,0.0
2023-06-30,186.83,194.48,185.23,193.97,281596832,193.97,0.0
2023-07-07,193.78,193.88,189.2,190.68,170349466,190.68,0.0
2023-07-14,189.26,191.7,186.6,190.69,250269110,190.69,0.0
2023-07-21,191.9,198.23,191.23,191.94,310914135,191.94,0.0
2023-07-28,193.41,197.2,192.25,195.83,226011789,195.83,0.0
2023-08-04,196.06,196.73,181.92,181.99,302694989,181.99,0.0
2023-08-11,182.13,183.13,176.55,177.79,332501087,177.79,0.0
2023-08-18,177.97,179.69,171.96,174.49,261498109,174.49,0.0
2023-08-25,175.07,181.55,173.735,178.61,247514268,178.61,0.0
2023-09-01,180.09,189.92,178.545,189.46,264199503,189.46,0.0
2023-09-08,188.28,189.98,173.54,178.18,305126712,178.18,0.0
2023-09-15,180.07,180.3,173.58,175.01,403746390,175.01,0.0
2023-09-22,176.48,179.695,173.86,174.79,297395196,174.79,0.0
2023-09-29,174.2,176.97,167.62,171.21,285838995,171.21,0.0
2023-10-06,171.22,177.99,170.82,177.49,260574027,177.49,0.0
2023-10-13,176.81,182.34,175.8,178.85,241839090,178.85,0.0
2023-10-20,176.75,179.075,172.64,172.88,288377600,172.88,0.0
2023-10-27,170.91,174.01,165.67,168.22,286078102,168.22,0.0
2023-11-03,169.02,177.78,167.9,176.65,310075876,176.65,0.0
2023-11-10,176.38,186.565,176.21,186.4,303653020,186.4,0.0
2023-11-17,185.82,190.96,184.21,189.69,262880715,189.69,0.0
2023-11-24,189.89,192.93,189.25,189.97,148351454,189.97,0.0
2023-12-01,189.92,192.09,188.19,191.24,216481441,191.24,0.0
2023-12-08,189.98,195.99,187.4511,195.71,251797045,195.71,0.0
2023-12-15,193.11,199.62,191.42,197.57,379414755,197.57,0.0
2023-12-22,196.09,197.68,192.97,193.6,231859933,193.6,0.0
2023-12-29,193.61,194.66,191.09,192.53,153541162,192.53,0.0
2024-01-05,187.15,188.44,180.17,181.18,275083628,181.18,0.0
2024-01-12,182.085,187.05,181.5,185.92,238385377,185.92,0.0
2024-01-19,182.16,191.95,180.3,191.56,259829213,191.56,0.0
2024-01-26,192.3,196.38,191.94,192.42,255368848,192.42,0.0
2024-02-02,192.01,192.2,179.25,185.85,325909883,185.85,0.0
2024-02-09,188.15,191.05,185.84,188.85,252715796,188.85,0.0
2024-02-16,188.415,188.67,181.35,182.31,268128941,182.31,0.0
2024-02-23,181.79,185.04,180.0,182.52,192607112,182.52,0.0
2024-03-01,182.24,183.9225,177.38,179.66,354385890,179.66,0.0
2024-03-08,176.15,176.9,168.49,170.73,393262265,170.73,0.0
2024-03-15,172.94,174.38,170.285,172.62,364748130,172.62,0.0
2024-03-22,175.57,178.67,170.06,172.28,361583938,172.28,0.0
2024-03-28,170.565,173.6,169.45,171.48,237622732,171.48,0.0
2024-04-05,171.19,171.92,168.2302,169.58,233688457,169.58,0.0
2024-04-12,169.03,178.36,167.11,176.55,321898799,176.55,0.0
2024-04-19,175.36,176.63,164.075,165.0,309416498,165.0,0.0
2024-04-26,165.515,171.34,164.77,169.3,241302722,169.3,0.0
2024-05-03,173.37,187.0,169.11,183.38,441926366,183.38,0.0
2024-05-10,182.354,185.09,180.42,183.05,300674993,183.05,0.0
2024-05-17,185.435,191.095,184.62,189.87,288966571,189.87,0.0
2024-05-24,189.325,192.8231,186.625,189.98,208652122,189.98,0.0
2024-05-31,191.51,193.0,189.1,192.25,230454285,192.25,0.0
2024-06-07,192.9,196.94,192.52,196.89,245994434,196.89,0.0
2024-06-14,196.9,220.2,192.15,212.49,635755143,212.49,0.0
2024-06-21,213.37,218.95,207.11,207.49,506265358,207.49,0.0
2024-06-28,207.72,216.07,206.59,210.62,335969485,210.62,0.0
2024-07-05,212.09,226.45,211.92,226.34,216231316,226.34,0.0
2024-07-12,227.09,233.08,223.25,230.54,287640514,230.54,0.0
2024-07-19,236.48,237.23,222.27,224.31,278397452,224.31,0.0
2024-07-26,227.01,227.78,214.62,217.96,242932215,217.96,0.0
2024-08-02,216.96,225.6,215.75,219.86,296061436,219.86,0.0
2024-08-09,199.09,216.78,196.0,216.24,342088289,216.24,0.0
2024-08-16,216.07,226.8271,215.6,226.05,214898250,226.05,0.0
2024-08-23,225.72,228.34,223.04,226.84,188124897,226.84,0.0
2024-08-30,226.76,232.92,223.8905,229.0,209486001,229.0,0.0
2024-09-06,228.55,229.0,217.48,220.82,178491741,220.82,0.0
2024-09-13,220.82,224.04,216.71,222.5,237622914,222.5,0.0
2024-09-20,216.54,233.09,213.92,228.2,550232897,228.2,0.0
2024-09-27,227.34,229.52,224.02,227.79,210673480,227.79,0.0
2024-10-04,230.04,233.0,223.02,226.8,222348300,226.8,0.0
2024-10-11,224.5,229.75,221.33,227.55,164894870,227.55,0.0
2024-10-18,228.7,237.49,228.6,235.0,218140974,235.0,0.0
2024-10-25,234.45,236.85,227.76,231.41,197299834,231.41,0.0
2024-11-01,233.32,234.73,220.27,222.91,248222115,222.91,0.0
2024-11-08,220.99,228.66,219.71,226.96,208083442,226.96,0.0
2024-11-15,225.0,228.87,221.5,225.0,223817755,225.0,0.0
2024-11-22,225.25,230.7199,225.17,229.87,196343939,229.87,0.0
2024-11-29,231.46,237.81,229.74,237.33,198118837,237.33,0.0
2024-12-06,237.27,244.63,237.16,242.84,208286552,242.84,0.0
2024-12-13,241.83,250.8,241.75,248.13,192702674,248.13,0.0
2024-12-20,247.99,255.0,245.69,254.49,368202745,254.49,0.0
2024-12-27,254.77,260.1,253.06,255.59,133711783,255.59,0.0
2025-01-03,252.23,253.5,241.8201,243.36,171023105,243.36,0.0
2025-01-10,244.31,247.33,233.0,236.85,185241327,236.85,0.0
