date,open,high,low,close,volume,adjusted_close,dividend
2020-12-24,217.55,225.63,217.2801,222.75,89075493,222.75,0.0
2020-12-31,224.45,227.18,219.68,222.42,76380383,222.42,0.0
2021-01-08,222.53,223.0,211.94,219.62,147534431,219.62,0.0
2021-01-15,218.47,218.91,212.03,212.65,127375699,212.65,0.0
2021-01-22,213.75,230.07,212.63,225.95,129180335,225.95,0.0
2021-01-29,229.12,242.64,224.22,231.96,243806631,231.96,0.0
2021-02-05,235.06,245.09,232.43,242.2,129501505,242.2,0.0
2021-02-12,243.15,245.92,240.81,244.99,100112782,244.99,0.0
2021-02-19,245.03,246.13,240.18,240.97,90368267,240.97,0.0
2021-02-26,237.42,237.93,227.88,232.38,169414358,232.38,0.0
2021-03-05,235.9,237.47,224.26,231.6,168775377,231.6,0.0
2021-03-12,231.37,239.17,227.13,235.75,150656031,235.75,0.0
2021-03-19,234.96,240.055,229.3496,230.35,164979946,230.35,0.0
2021-03-26,230.27,241.05,230.14,236.48,146927214,236.48,0.0
2021-04-01,236.59,242.84,231.1,242.35,123980920,242.35,0.0
2021-04-09,242.76,255.99,242.7,255.85,130514397,255.85,0.0
2021-04-16,254.71,261.0,254.62,260.74,124563138,260.74,0.0
2021-04-23,260.19,261.78,255.64,261.15,114067956,261.15,0.0
2021-04-30,261.66,263.19,249.0,252.18,169214799,252.18,0.0
2021-05-07,253.4,254.35,244.69,252.46,127807942,252.46,0.0
2021-05-14,250.87,251.73,238.07,248.15,153151228,248.15,0.0
2021-05-21,246.55,248.33,238.6,245.17,114541724,245.17,0.0
2021-05-28,247.785,252.94,247.51,249.68,99588636,249.68,0.0
2021-06-04,251.23,251.65,243.0,250.79,93208820,250.79,0.0
2021-06-11,249.98,258.4868,249.81,257.89,107035149,257.89,0.0
2021-06-18,257.9,262.3,254.42,259.43,128993727,259.43,0.0
2021-06-25,259.82,267.85,257.92,265.02,117966870,265.02,0.0
2021-07-02,266.185,278.0,265.91,277.65,104384023,277.65,0.0
2021-07-09,278.03,280.6945,274.3,277.94,103360847,277.94,0.0
2021-07-16,279.157,284.1,276.58,280.75,116956560,280.75,0.0
2021-07-23,278.9335,289.99,274.45,289.67,129711825,289.67,0.0
2021-07-30,289.0,290.15,282.95,284.91,129074080,284.91,0.0
2021-08-06,286.36,289.63,283.74,289.46,80827209,289.46,0.0
2021-08-13,289.75,292.9,285.2,292.85,80543547,292.85,0.0
2021-08-20,293.19,305.84,288.64,304.36,135072369,304.36,0.0
2021-08-27,303.245,305.65,296.83,299.72,101283798,299.72,0.0
2021-09-03,301.115,305.19,300.18,301.14,92659391,301.14,0.0
2021-09-10,301.005,302.14,295.38,295.71,71791265,295.71,0.0
2021-09-17,297.55,305.32,294.08,299.87,134785958,299.87,0.0
2021-09-24,296.33,300.9,289.52,299.35,120872685,299.35,0.0
2021-10-01,296.14,296.47,281.29,289.1,155541590,289.1,0.0
2021-10-08,287.4,296.6409,280.25,294.85,122462501,294.85,0.0
2021-10-15,292.92,304.45,292.35,304.21,113344507,304.21,0.0
2021-10-22,303.57,311.09,302.69,309.16,91315937,309.16,0.0
2021-10-29,309.36,332.0,306.46,331.62,159314433,331.62,0.0
2021-11-05,331.355,338.79,326.37,336.06,120621826,336.06,0.0
2021-11-12,337.3,338.72,329.92,336.72,106622220,336.72,0.0
2021-11-19,337.54,345.1,334.034,343.11,101090157,343.11,0.0
2021-11-26,344.62,349.67,328.12,329.68,107337225,329.68,0.0
2021-12-03,334.94,339.28,318.03,323.01,177395495,323.01,0.0
2021-12-10,323.95,343.0,319.23,342.54,146125332,342.54,0.0
2021-12-17,340.68,343.79,317.25,323.8,191737796,323.8,0.0
2021-12-23,320.05,336.39,317.57,334.69,97516470,334.69,0.0
2021-12-31,335.46,344.3,335.43,336.32,84417803,336.32,0.0
2022-01-07,335.35,338.0,310.09,314.04,174012812,314.04,0.0
2022-01-14,309.485,323.41,303.75,310.2,193141391,310.2,0.0
2022-01-21,304.07,313.9093,295.61,296.03,180568678,296.03,0.0
2022-01-28,292.2,308.5,276.05,308.26,352537899,308.26,0.0
2022-02-04,308.95,315.12,299.96,305.94,202857381,305.94,0.0
2022-02-11,306.17,311.93,294.22,295.04,176800964,295.04,0.0
2022-02-18,293.77,300.87,286.305,287.93,160446684,287.93,0.0
2022-02-25,285.0,297.63,271.52,297.31,168916893,297.31,0.0
2022-03-04,294.31,303.13,287.165,289.86,157402366,289.86,0.0
2022-03-11,288.53,289.69,270.0,280.07,184358475,280.07,0.0
2022-03-18,280.34,301.0,275.82,300.43,175744631,300.43,0.0
2022-03-25,298.89,305.5,294.9,303.68,128192615,303.68,0.0
2022-04-01,304.33,315.95,304.33,309.42,148667745,309.42,0.0
2022-04-08,310.09,315.11,296.28,296.97,143204193,296.97,0.0
2022-04-14,291.79,292.61,279.32,279.83,115664768,279.83,0.0
2022-04-22,278.91,293.3,273.38,274.03,124741446,274.03,0.0
2022-04-29,273.29,290.98,270.0,277.52,211924047,277.52,0.0
2022-05-06,277.71,290.88,271.27,274.73,175633827,274.73,0.0
2022-05-13,270.06,273.75,250.02,261.12,221997169,261.12,0.0
2022-05-20,259.955,268.33,246.44,252.56,164627282,252.56,0.0
2022-05-27,255.49,273.34,253.43,273.24,142680141,273.24,0.0
2022-06-03,272.53,277.69,261.6,270.02,135187036,270.02,0.0
2022-06-10,272.06,274.18,252.53,252.99,120518929,252.99,0.0
2022-06-17,245.11,255.3,241.51,247.65,184152944,247.65,0.0
2022-06-24,250.255,267.98,249.51,267.7,115674192,267.7,0.0
2022-07-01,268.205,268.3,252.9,259.58,126633760,259.58,0.0
2022-07-08,256.16,269.055,254.74,267.66,87314678,267.66,0.0
2022-07-15,265.65,266.53,245.94,256.72,139761854,256.72,0.0
2022-07-22,259.75,265.33,253.3,260.36,113061843,260.36,0.0
2022-07-29,260.995,282.0,249.57,280.74,172010083,280.74,0.0
2022-08-05,277.82,283.8,272.38,282.91,102685912,282.91,0.0
2022-08-12,284.05,291.91,277.61,291.91,109536514,291.91,0.0
2022-08-19,291.0,294.18,285.56,286.15,92198119,286.15,0.0
2022-08-26,282.08,282.46,267.98,268.09,104858212,268.09,0.0
2022-09-02,265.85,267.4,254.47,256.06,113799087,256.06,0.0
2022-09-09,256.2,265.23,251.94,264.46,87823670,264.46,0.0
2022-09-16,265.78,267.45,242.0627,244.74,147336678,244.74,0.0
2022-09-23,242.465,247.66,235.2,237.92,147215927,237.92,0.0
2022-09-30,237.045,242.33,232.73,232.9,146921666,232.9,0.0
2022-10-07,235.41,250.58,233.17,234.24,142125397,234.24,0.0
2022-10-14,233.05,237.24,219.13,228.56,154871905,228.56,0.0
2022-10-21,235.82,243.93,234.29,242.12,122568305,242.12,0.0
2022-10-28,243.76,251.04,225.78,235.87,223443932,235.87,0.0
2022-11-04,233.76,235.74,213.431,221.39,170779529,221.39,0.0
2022-11-11,221.99,247.99,221.28,247.11,170431704,247.11,0.0
2022-11-18,241.985,247.0,237.63,241.22,137343796,241.22,0.0
2022-11-25,241.43,248.7,240.71,247.49,74769633,247.49,0.0
2022-12-02,246.08,256.12,238.21,255.02,137930867,255.02,0.0
2022-12-09,252.01,253.819,242.205,245.42,109602043,245.42,0.0
2022-12-16,247.445,263.915,243.51,244.69,229942973,244.69,0.0
2022-12-23,244.86,245.615,233.87,238.73,128396491,238.73,0.0
2022-12-30,238.7,241.92,234.17,239.82,75854917,239.82,0.0
2023-01-06,243.08,245.75,219.35,224.93,159562627,224.93,0.0
2023-01-13,226.45,239.9,226.41,239.23,131675747,239.23,0.0
2023-01-20,237.97,242.38,230.68,240.22,123872791,240.22,0.0
2023-01-27,241.1,249.83,230.9,248.16,198648466,248.16,0.0
2023-02-03,244.51,264.69,242.2,258.35,152686042,258.35,0.0
2023-02-10,257.44,276.76,254.78,263.1,196239002,263.1,0.0
2023-02-17,267.64,274.97,256.0,258.06,170244679,258.06,0.0
2023-02-24,254.48,256.84,248.1,249.22,105098500,249.22,0.0
2023-03-03,252.46,255.62,245.61,255.29,126840033,255.29,0.0
2023-03-10,256.425,260.12,247.6,248.59,117910562,248.59,0.0
2023-03-17,247.4,283.33,245.73,279.43,237347572,279.43,0.0
2023-03-24,276.98,281.06,269.5191,280.57,177709524,280.57,0.0
2023-03-31,280.5,289.27,272.0451,288.3,131625277,288.3,0.0
2023-04-06,286.52,292.08,282.03,291.6,102542745,291.6,0.0
2023-04-14,289.208,289.9,281.64,286.14,122993610,286.14,0.0
2023-04-21,289.93,291.755,283.0608,285.76,106024017,285.76,0.0
2023-04-28,282.09,308.93,275.37,307.26,219796618,307.26,0.0
2023-05-05,306.97,311.97,303.4,310.65,120776259,310.65,0.0
2023-05-12,310.13,313.0,306.09,308.97,124192361,308.97,0.0
